[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=1023
YRANGE=0
NAME=C:\Dokumente und Einstellungen\Tutor\Desktop\Ueding_Lemmer_2014\Pulshöhenspektrum-Werte.csv
XTITLE=x
YTITLE=y

[DATA]
2 0 3
3 0 14
4 0 12
5 0 80
6 0 104
7 0 188
8 0 231
9 0 187
10 0 146
11 0 80
12 0 37
13 0 10
14 0 2
87 0 1
88 0 1
89 0 1
90 0 1
91 0 1
95 0 1
98 0 1
100 0 2
103 0 2
104 0 1
105 0 2
106 0 2
107 0 4
109 0 3
110 0 3
111 0 2
112 0 7
113 0 1
114 0 4
115 0 2
116 0 2
117 0 1
118 0 3
119 0 2
120 0 2
122 0 3
123 0 3
124 0 3
125 0 2
126 0 6
127 0 3
128 0 1
130 0 1
131 0 4
132 0 1
133 0 1
134 0 6
135 0 2
136 0 3
137 0 1
138 0 1
139 0 7
140 0 2
141 0 1
142 0 1
143 0 4
144 0 5
145 0 3
146 0 6
147 0 6
148 0 5
149 0 5
150 0 3
151 0 3
153 0 1
154 0 6
155 0 4
156 0 2
157 0 4
158 0 4
159 0 4
160 0 3
161 0 3
162 0 4
163 0 6
164 0 4
165 0 4
166 0 2
167 0 3
168 0 8
169 0 5
170 0 13
171 0 5
172 0 7
173 0 8
174 0 6
175 0 7
176 0 5
177 0 7
178 0 6
179 0 7
180 0 4
181 0 7
182 0 7
183 0 8
184 0 5
185 0 7
186 0 8
187 0 10
188 0 7
189 0 6
190 0 7
191 0 8
192 0 6
193 0 6
194 0 8
195 0 7
196 0 8
197 0 11
198 0 2
199 0 10
200 0 10
201 0 9
202 0 12
203 0 10
204 0 15
205 0 13
206 0 9
207 0 12
208 0 7
209 0 16
210 0 8
211 0 13
212 0 10
213 0 8
214 0 10
215 0 13
216 0 9
217 0 5
218 0 10
219 0 8
220 0 11
221 0 12
222 0 12
223 0 22
224 0 15
225 0 11
226 0 14
227 0 13
228 0 10
229 0 14
230 0 11
231 0 8
232 0 8
233 0 13
234 0 17
235 0 10
236 0 9
237 0 14
238 0 14
239 0 8
240 0 16
241 0 15
242 0 19
243 0 17
244 0 12
245 0 17
246 0 10
247 0 23
248 0 14
249 0 23
250 0 12
251 0 17
252 0 15
253 0 13
254 0 17
255 0 13
256 0 12
257 0 19
258 0 19
259 0 10
260 0 17
261 0 8
262 0 21
263 0 23
264 0 20
265 0 21
266 0 19
267 0 19
268 0 18
269 0 21
270 0 25
271 0 25
272 0 17
273 0 13
274 0 11
275 0 20
276 0 22
277 0 16
278 0 25
279 0 17
280 0 16
281 0 30
282 0 26
283 0 25
284 0 22
285 0 21
286 0 15
287 0 17
288 0 26
289 0 17
290 0 19
291 0 21
292 0 24
293 0 11
294 0 26
295 0 20
296 0 25
297 0 26
298 0 26
299 0 34
300 0 24
301 0 23
302 0 21
303 0 20
304 0 26
305 0 26
306 0 26
307 0 19
308 0 29
309 0 20
310 0 22
311 0 17
312 0 31
313 0 14
314 0 26
315 0 33
316 0 27
317 0 24
318 0 28
319 0 22
320 0 23
321 0 25
322 0 26
323 0 20
324 0 28
325 0 29
326 0 33
327 0 21
328 0 18
329 0 22
330 0 14
331 0 24
332 0 35
333 0 25
334 0 31
335 0 20
336 0 35
337 0 20
338 0 18
339 0 31
340 0 31
341 0 24
342 0 20
343 0 22
344 0 28
345 0 29
346 0 24
347 0 23
348 0 28
349 0 32
350 0 35
351 0 30
352 0 24
353 0 25
354 0 20
355 0 23
356 0 21
357 0 26
358 0 23
359 0 37
360 0 31
361 0 25
362 0 30
363 0 27
364 0 23
365 0 34
366 0 26
367 0 31
368 0 26
369 0 26
370 0 20
371 0 28
372 0 18
373 0 25
374 0 29
375 0 24
376 0 24
377 0 28
378 0 29
379 0 31
380 0 24
381 0 34
382 0 26
383 0 29
384 0 26
385 0 24
386 0 33
387 0 22
388 0 30
389 0 37
390 0 28
391 0 32
392 0 22
393 0 23
394 0 22
395 0 21
396 0 26
397 0 16
398 0 29
399 0 24
400 0 35
401 0 32
402 0 32
403 0 21
404 0 28
405 0 23
406 0 19
407 0 21
408 0 18
409 0 26
